"","compustats_tic","crsp_tic"
"962","BBVA1","CBSS"
"963","ASN","ASN"
"964","TFCFA","NWS"
"965","XTO","XTO"
"966","ANTM","WLP"
"967","TAP","TAP"
"968","SHLDQ","SHLD"
"969","NOV","NOV"
"970","STZ","STZ"
"971","DHI","DHI"
"972","WFTIF","WFT"
"973","MUR","MUR"
"974","PSA","PSA"
"975","TSN","TSN"
"976","S","S"
"977","VNO","VNO"
"978","CVH","CVH"
"979","LEN","LEN"
"980","PDCO","PDCO"
"981","AMP","AMP"
"982","AMZN","AMZN"
"983","GNW","GNW"
"984","T","T"
"985","SCHW","SCHW"
"986","SSP","SSP"
"987","WFM","WFMI"
"988","EL","EL"
"989","HAR","HAR"
"990","CBS","CBS"
"991","VRSN","VRSN"
"992","VIAB","VIA"
"993","BRL","BRL"
"994","CHK","CHK"
"995","KIM","KIM"
"996","DF","DF"
"997","BXP","BXP"
"998","GOOGL","GOOG"
"999","LM","LM"
"1000","SNDK","SNDK"
"1001","HES","HES"
"1002","JNPR","JNPR"
"1003","EQ.2","EQ"
"1004","CBH.1","CBH"
"1005","CNX","CNX"
"1006","WINMQ","WIN"
"1007","BIG","BIG"
"1008","HOG","HOG"
"1009","CME","CME"
"1010","RLGY","H"
"1011","WYND","WYN"
"1012","SII","SII"
"1013","WU","WU"
"1014","STR","STR"
"1015","SAF.3","SAF"
"1016","DTV.2","DTV"
"1017","CELG","CELG"
"1018","IAC","IACI"
"1019","CTSH","CTSH"
"1020","BTU","BTU"
"1021","FIS","FIS"
"1022","CBRE","CBG"
"1023","VAL","ESV"
"1024","TEX","TEX"
"1025","ETFC","ETFC"
"1026","AVB","AVB"
"1027","RL","RL"
"1028","SE.7","SE"
"1029","VAR","VAR"
"1030","WEC3","TEG"
"1031","TRV","TRV"
"1032","CHRW","CHRW"
"1033","HCBK","HCBK"
"1034","HST","HST"
"1035","SITC","DDR"
"1036","ANF","ANF"
"1037","MDLZ","KFT"
"1038","AIZ","AIZ"
"1039","PCP","PCP"
"1040","SUNEQ","WFR"
"1041","M","M"
"1042","BPR","GGP"
"1043","ACAS","ACAS"
"1044","AKAM","AKAM"
"1045","COV","COV"
"1046","TEL","TEL"
"1047","DFS","DFS"
"1048","JEF","LUK"
"1049","JAVA","JAVA"
"1050","ANDV","TSO"
"1051","MCHP","MCHP"
"1052","EXPE","EXPE"
"1053","ICE","ICE"
"1054","EXPD","EXPD"
"1055","JEC","JEC"
"1056","NBL","NBL"
"1057","TIE","TIE"
"1058","NYX","NYX"
"1059","TDC","TDC"
"1060","TT.2","TT"
"1061","MTW","MTW"
"1062","POM","POM"
"1063","AMT","AMT"
"1064","RRC","RRC"
"1065","TSS","TSS"
"1066","GHC","WPO"
"1067","GME","GME"
"1068","CAM","CAM"
"1069","PEAK","HCP"
"1070","PM","PM"
"1071","ISRG","ISRG"
"1072","L","L"
